iter	Passed	Remaining
0	56	56213
1	56	28230
2	57	18962
3	57	14318
4	57	11507
5	58	9627
6	58	8282
7	58	7279
8	59	6501
9	59	5872
10	59	5359
11	59	4934
12	60	4569
13	60	4260
14	60	3992
15	61	3757
16	61	3554
17	61	3372
18	62	3209
19	62	3060
20	62	2928
21	63	2805
22	63	2693
23	63	2591
24	64	2496
25	64	2408
26	64	2329
27	65	2256
28	65	2187
29	65	2123
30	66	2063
31	66	2006
32	66	1953
33	66	1902
34	67	1856
35	67	1813
36	68	1771
37	68	1733
38	68	1697
39	69	1661
40	69	1627
41	69	1595
42	70	1564
43	70	1533
44	70	1504
45	71	1478
46	71	1453
47	71	1427
48	72	1403
49	72	1378
50	72	1355
51	73	1334
52	73	1314
53	74	1296
54	74	1277
55	74	1261
56	75	1243
57	75	1225
58	75	1209
59	76	1193
60	76	1180
61	77	1166
62	77	1151
63	77	1137
64	78	1123
65	78	1110
66	78	1097
67	79	1084
68	79	1073
69	79	1060
70	80	1049
71	80	1038
72	81	1028
73	81	1017
74	81	1006
75	81	995
76	82	985
77	82	975
78	82	966
79	83	957
80	83	947
81	83	938
82	83	927
83	84	918
84	84	910
85	85	903
86	85	896
87	85	888
88	86	880
89	86	873
90	86	866
91	86	858
92	87	850
93	87	843
94	87	837
95	88	833
96	89	832
97	89	826
98	90	820
99	90	813
100	90	807
101	91	802
102	91	798
103	92	794
104	93	793
105	93	789
106	94	784
107	94	779
108	94	773
109	95	769
110	95	768
111	98	781
112	98	775
113	99	769
114	99	765
115	99	759
116	99	753
117	100	748
118	100	743
119	100	740
120	101	736
121	101	730
122	101	725
123	102	722
124	103	727
125	104	722
126	105	721
127	105	717
128	105	712
129	105	708
130	106	703
131	106	699
132	106	695
133	106	690
134	107	686
135	107	683
136	107	679
137	108	675
138	108	671
139	108	668
140	109	669
141	110	665
142	110	663
143	111	660
144	111	658
145	111	654
146	112	651
147	112	648
148	112	644
149	113	641
150	113	637
151	113	634
152	114	631
153	114	628
154	114	626
155	115	623
156	115	621
157	116	618
158	116	615
159	116	613
160	117	610
161	118	610
162	118	608
163	118	605
164	119	602
165	119	599
166	120	598
167	120	596
168	120	593
169	120	590
170	121	587
171	121	584
172	121	581
173	121	579
174	122	576
175	122	573
176	122	570
177	123	568
178	123	565
179	123	562
180	123	560
181	124	557
182	124	554
183	124	552
184	124	549
185	125	547
186	125	544
187	125	542
188	125	540
189	126	537
190	126	535
191	126	532
192	126	530
193	127	528
194	127	525
195	127	523
196	127	521
197	128	519
198	128	517
199	128	515
200	129	513
201	129	511
202	129	509
203	129	506
204	130	504
205	130	503
206	131	501
207	131	500
208	131	498
209	132	496
210	132	494
211	132	493
212	133	491
213	133	489
214	133	487
215	133	485
216	134	484
217	134	482
218	134	480
219	135	479
220	135	478
221	136	476
222	136	475
223	136	473
224	137	472
225	137	471
226	137	469
227	138	467
228	138	465
229	138	464
230	138	462
231	139	461
232	139	459
233	139	458
234	140	456
235	140	455
236	140	453
237	141	452
238	141	450
239	141	449
240	142	447
241	142	446
242	142	444
243	143	443
244	143	441
245	143	440
246	143	438
247	144	437
248	144	435
249	144	434
250	145	433
251	145	431
252	145	430
253	145	428
254	146	427
255	146	425
256	146	424
257	147	423
258	147	421
259	147	420
260	147	419
261	148	417
262	148	416
263	149	415
264	149	414
265	149	412
266	149	411
267	150	410
268	150	408
269	150	407
270	150	406
271	151	404
272	151	403
273	151	402
274	151	400
275	152	399
276	152	398
277	152	396
278	152	395
279	153	394
280	153	392
281	153	391
282	154	390
283	154	389
284	154	388
285	154	386
286	155	385
287	155	385
288	156	384
289	156	383
290	156	382
291	157	381
